variant,threads,patch_radius,search_radius,sigma,h,width,height,run,seconds,psnr,max_abs_diff
seq,1,3,10,25.0000,10.0000,512,512,0,6.657013,28.7746,
seq,1,3,10,25.0000,10.0000,512,512,1,6.711207,28.7746,
seq,1,3,10,25.0000,10.0000,512,512,2,6.666613,28.7746,
seq_simd,1,3,10,25.0000,10.0000,512,512,0,2.685640,28.7746,
seq_simd,1,3,10,25.0000,10.0000,512,512,1,2.658733,28.7746,
seq_simd,1,3,10,25.0000,10.0000,512,512,2,2.709292,28.7746,
integral,1,3,10,25.0000,10.0000,512,512,0,1.055367,28.7746,
integral,1,3,10,25.0000,10.0000,512,512,1,1.063351,28.7746,
integral,1,3,10,25.0000,10.0000,512,512,2,1.051213,28.7746,
pthreads,1,3,10,25.0000,10.0000,512,512,0,6.761550,28.7746,
pthreads,1,3,10,25.0000,10.0000,512,512,1,6.682106,28.7746,
pthreads,1,3,10,25.0000,10.0000,512,512,2,6.699174,28.7746,
pthreads,2,3,10,25.0000,10.0000,512,512,0,3.430022,28.7746,
pthreads,2,3,10,25.0000,10.0000,512,512,1,3.486165,28.7746,
pthreads,2,3,10,25.0000,10.0000,512,512,2,3.472681,28.7746,
pthreads,4,3,10,25.0000,10.0000,512,512,0,1.796708,28.7746,
pthreads,4,3,10,25.0000,10.0000,512,512,1,1.980552,28.7746,
pthreads,4,3,10,25.0000,10.0000,512,512,2,2.087189,28.7746,
pthreads,6,3,10,25.0000,10.0000,512,512,0,1.526968,28.7746,
pthreads,6,3,10,25.0000,10.0000,512,512,1,1.506686,28.7746,
pthreads,6,3,10,25.0000,10.0000,512,512,2,1.521960,28.7746,
pthreads,8,3,10,25.0000,10.0000,512,512,0,1.226189,28.7746,
pthreads,8,3,10,25.0000,10.0000,512,512,1,1.206877,28.7746,
pthreads,8,3,10,25.0000,10.0000,512,512,2,1.190259,28.7746,
pthreads,10,3,10,25.0000,10.0000,512,512,0,1.249466,28.7746,
pthreads,10,3,10,25.0000,10.0000,512,512,1,1.277670,28.7746,
pthreads,10,3,10,25.0000,10.0000,512,512,2,1.251888,28.7746,
