variant,threads,patch_radius,search_radius,sigma,h,width,height,run,seconds,psnr,max_abs_diff
integral_thr,16,3,10,25.0000,5.0000,512,512,0,0.180036,27.9649,
integral_thr,16,3,10,25.0000,7.5000,512,512,0,0.156030,28.3740,
integral_thr,16,3,10,25.0000,10.0000,512,512,0,0.160079,28.7746,
integral_thr,16,3,10,25.0000,12.5000,512,512,0,0.166830,28.9573,
integral_thr,16,3,10,25.0000,15.0000,512,512,0,0.148769,28.9140,
integral_thr,16,3,10,25.0000,17.5000,512,512,0,0.145253,28.7487,
integral_thr,16,3,10,25.0000,20.0000,512,512,0,0.150142,28.5290,
integral_thr,16,3,10,25.0000,22.5000,512,512,0,0.150966,28.2881,
integral_thr,16,3,10,25.0000,25.0000,512,512,0,0.161317,28.0355,
integral_thr,16,3,10,25.0000,30.0000,512,512,0,0.160461,27.5246,
integral_thr,16,3,10,10.0000,6.0000,512,512,0,0.160055,31.9479,
integral_thr,16,3,10,25.0000,15.0000,512,512,0,0.172674,28.9140,
integral_thr,16,3,10,50.0000,30.0000,512,512,0,0.141981,25.3788,
